date/time,settlement id,type,order id,sku,description,quantity,marketplace,fulfillment,order city,order state,order postal,tax collection model,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
"Nov 21, 2023 9:19:23 AM PST",19110008641,Order,S01-3808084-1290035,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - crafted from Whole Ingredients only.",1,sim1.stores.amazon.com,Amazon,WEST COVINA,CA,91791-2944,,0,0,0,0,0,0,0,0,0,0,0,0,-5.74,0,0,-5.74
"Nov 21, 2023 9:19:23 AM PST",19110008641,Order,S01-3808084-1290035,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppers roasted and bathed in virgin Olive Oil - Whole Ingredients only.",1,sim1.stores.amazon.com,Amazon,WEST COVINA,CA,91791-2944,,0,0,0,0,0,0,0,0,0,0,0,0,-5.25,0,0,-5.25
"Nov 21, 2023 9:19:23 AM PST",19110008641,Order,S01-3808084-1290035,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted and bathed in virgin Olive Oil - Low-Heat - from Whole Ingredients.",1,sim1.stores.amazon.com,Amazon,WEST COVINA,CA,91791-2944,,0,0,0,0,0,0,0,0,0,0,0,0,-5.1,0,0,-5.1
"Nov 21, 2023 11:13:45 AM PST",19110008641,FBA Inventory Fee,,,FBA Long-Term Storage Fee,,Amazon.com,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.22,-17.22
"Nov 22, 2023 2:17:22 PM PST",19110008641,Order,114-2413678-4088249,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,MIAMI,FL,33166-2635,MarketplaceFacilitator,15.37,0,0,0,0,0,0,0,0,0,0,-2.68,-5.7,0,0,6.99
"Nov 22, 2023 2:17:22 PM PST",19110008641,Order,114-2413678-4088249,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,MIAMI,FL,33166-2635,MarketplaceFacilitator,13.57,0,0,0,0,0,0,0,0,0,0,-1.26,-5.05,0,0,7.26
"Nov 22, 2023 2:17:22 PM PST",19110008641,Order,114-2413678-4088249,PT0022-US,"FUEGO MEXIKA® | Nutty & Picante - Gourmet Mexican Chili Paste-Salsa with Dried Plums and Pecans - Blend of Morita & Habanero Chili Peppers, roasted a",1,amazon.com,Amazon,MIAMI,FL,33166-2635,MarketplaceFacilitator,13.56,0,0,0,0,0,0,0,0,0,0,-1.25,-4.54,0,0,7.77
"Nov 22, 2023 2:18:11 PM PST",19110008641,Order,113-0874649-2225865,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,ORIENT,NY,11957-1637,MarketplaceFacilitator,14.99,0,0,0,0,0,0,0,0,0,0,-1.39,-5.05,0,0,8.55
"Nov 22, 2023 2:48:02 PM PST",19110008641,Order,111-6104031-9693021,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,FORT WORTH,TX,76126,MarketplaceFacilitator,12.75,0,0,0,0,0,0,0,0,0,0,-2.37,-5.05,0,0,5.33
"Nov 22, 2023 2:48:02 PM PST",19110008641,Order,111-6104031-9693021,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,FORT WORTH,TX,76126,,12.75,0,0,0,0,0,0,0,0,0,0,0,-5.05,0,0,7.7
"Nov 22, 2023 4:48:50 PM PST",19110008641,Order,111-1210356-0421851,PT0001-USA,"FUEGO MEXIKA® | Elixir Ambar - spicy Virgin Olive Oil Infusion with a Blend of Chipotle, Rojo de Arbol, Morita Chili Peppers and natural Garlic - cra",1,amazon.com,Amazon,San Diego,CA,92129,MarketplaceFacilitator,16.99,0,0,0,0,0,0,0,0,0,0,-2.96,-5.7,0,0,8.33
"Nov 22, 2023 6:30:21 PM PST",19110008641,Order,113-3076840-7492265,PT0003-US,"FUEGO MEXIKA® | Manjar Emperador - Gourmet Mexican Chili Paste-Salsa with Garlic, made with Blend of Chipotle, Morita, and Rojo de Árbol Chili Peppe",1,amazon.com,Amazon,HEBER CITY,UT,84032-1303,MarketplaceFacilitator,12.75,0.38,0,0,0,0,0,0,0,0,-0.38,-1.18,-5.05,0,0,6.52
